Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight
195.028796, 1.8819497838595964, 0.9839938498223756, 0.1738059161523725, 1.8975875093309238, 0.9916122535300205, 0.08620994157878639, 0.0061260898426200965, 0.014794033080408138, -0.0863357827176023, 0.1640947372817506, 0.037442151583406566
195.034139, 1.8829935673868958, 0.984177114687089, 0.17400638433709284, 1.899051701385126, 0.991840078515353, 0.08492448814492884, 0.006150941392920433, 0.015179932511713776, -0.08779644275830645, 0.165186115183108, 0.03712257254466046
195.038441, 1.8839677310366103, 0.984348357186413, 0.17400638433709284, 1.900230618513548, 0.9920235153648567, 0.08388948521166315, 0.006185262562866715, 0.015665075070799887, -0.089081896192164, 0.16627966328917662, 0.03699930955676409
195.043685, 1.8850114778041618, 0.9845318312928315, 0.1738059161523725, 1.901667680675672, 0.9922471190000959, 0.08262784983694073, 0.006190109443170082, 0.015793356807490597, -0.08991643094070936, 0.16682036551983664, 0.03671517079948548
195.048948, 1.8860552613314612, 0.9847150961575449, 0.17400638433709284, 1.903109949584755, 0.992471532793433, 0.081361643319561, 0.006217772310337862, 0.016180800764393422, -0.09137853450015211, 0.16791119838929305, 0.036399225843834704
195.054217, 1.8870990080990127, 0.9848985702639634, 0.17420685252181317, 1.9045538627297252, 0.9926962024261703, 0.0800939932834427, 0.00624667115815506, 0.01657344587508854, -0.09284520920225217, 0.169008282003221, 0.03608743245129699
195.058525, 1.8879339760716989, 0.9850455169365636, 0.17420685252181253, 1.9057344240940344, 0.9928798951150741, 0.07905754683143842, 0.006296428537350169, 0.017178725466709115, -0.09411285923836983, 0.1701976292337053, 0.036108644404053855
195.063777, 1.8889776860375567, 0.9852292002773139, 0.1740063843370922, 1.907173678570664, 0.9931038398695119, 0.07779398676507372, 0.0063034314310416815, 0.01730861502223952, -0.09494883750565378, 0.17073850502918617, 0.035827547719633784
195.06901, 1.8899518496872711, 0.9854004427766379, 0.1740063843370922, 1.908607726300335, 0.9933269744658518, 0.07653499784136635, 0.006341694942599249, 0.01776841642112148, -0.09621239757201848, 0.17179182294969292, 0.03569383259689096
195.074219, 1.8909955964548226, 0.9855839168830564, 0.17420685252181253, 1.910035197086473, 0.9935490857045937, 0.07528178299259958, 0.006373762009970464, 0.01815260907599591, -0.09767185468044619, 0.17287367709141, 0.03538036376492276
195.078503, 1.8918305644275089, 0.9857308635556565, 0.1738059161523725, 1.9112091815072494, 0.9937317550358993, 0.07425111061553592, 0.006426895244512735, 0.01874108495616028, -0.09852413315977293, 0.17383515897669544, 0.03559583363996603
