Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight,pAverage,velocity,classification
261.508243,-2.38333,0.42835,1.570796327,-2.383857466,0.488063128,1.590929031,-6.42E-04,0.058672652,0.019782315,0.094776568,0.127006053,0.11089131,0,0
261.512692,-2.38333,0.42835,1.570796327,-2.383865152,0.48893321,1.591222386,-6.75E-04,0.059711646,0.020132705,0.095672668,0.128187939,0.111930303,0,0
261.518003,-2.38333,0.42835,1.570796327,-2.383874327,0.489971871,1.591572578,-7.02E-04,0.060581502,0.020426059,0.09642345,0.129176869,0.11280016,0,0
261.523292,-2.38333,0.42835,1.570796327,-2.383883464,0.491006229,1.591921319,-7.36E-04,0.06161988,0.020776251,0.097320352,0.130356723,0.113838537,0,0
261.529437,-2.38333,0.42835,1.570796327,-2.383894079,0.492207994,1.592326502,-7.70E-04,0.06265394,0.021124992,0.098214246,0.13153095,0.114872598,0,0
261.534761,-2.38333,0.42835,1.570796327,-2.383903277,0.493249197,1.592677551,-8.11E-04,0.063855337,0.021530175,0.099253697,0.132894293,0.116073995,0,0
261.540056,-2.38333,0.42835,1.570796327,-2.383912424,0.494284729,1.593026688,-8.47E-04,0.064896204,0.021881225,0.100155041,0.134074683,0.117114862,0,0
261.545305,-2.38333,0.42835,1.570796327,-2.383921492,0.495311264,1.593372792,-8.83E-04,0.065931384,0.022230361,0.101052183,0.1352479,0.118150042,0,0
261.550605,-2.38333,0.42835,1.570796327,-2.383930647,0.496347774,1.593722259,-9.20E-04,0.066957553,0.022576465,0.101942228,0.136410194,0.119176211,0.019307024,0
261.555901,-2.38333,0.42845225,1.571058506,-2.383939796,0.497383502,1.594071462,-9.56E-04,0.067891451,0.022663752,0.102868145,0.137352073,0.120110109,0.038775123,0
261.561175,-2.383330054,0.42865675,1.571582865,-2.383948907,0.498414927,1.594419214,-9.90E-04,0.068722327,0.022488596,0.10382056,0.13806141,0.120940985,0.047937178,0
261.565441,-2.383330214,0.42886125,1.572107224,-2.383956277,0.499249219,1.594700501,-0.001024386,0.069548885,0.02231199,0.104769904,0.138765181,0.121767542,0.047180694,0
261.570859,-2.38333055,0.429116875,1.572762673,-2.383965637,0.500308806,1.595057749,-0.001050748,0.070127264,0.021937828,0.105561726,0.139130118,0.122345922,0.048113119,0
261.576172,-2.383331052,0.429372499,1.573418122,-2.383974815,0.501347858,1.595408072,-0.001086449,0.070930825,0.021639627,0.106550089,0.139748877,0.123149483,0.047813888,0
261.580449,-2.383331588,0.429576999,1.573942481,-2.383982204,0.502184302,1.595690085,-0.001123196,0.071764953,0.021465592,0.107507981,0.14045924,0.12398361,0.038893115,0
261.585707,-2.383332232,0.429781498,1.57446684,-2.383991287,0.503212597,1.596036783,-0.001152421,0.07239655,0.021223246,0.108289977,0.140940439,0.124615208,0.03843985,0
261.591027,-2.383332982,0.429985996,1.574991199,-2.384000477,0.504253019,1.596387568,-0.001189982,0.073219891,0.021045584,0.109239709,0.141637389,0.125438549,0.047950666,0
261.596358,-2.383334055,0.430241619,1.575646647,-2.384025961,0.505623801,1.596829233,-0.001227633,0.074004218,0.020740921,0.144321081,0.18451625,0.164418666,0.038657845,0
261.601648,-2.383335047,0.430446116,1.576171006,-2.384072596,0.507414551,1.597385755,-0.001266192,0.075170196,0.020658226,0.145566966,0.185602321,0.165584643,0.047905735,0
261.606984,-2.38333642,0.430701738,1.576826455,-2.384119636,0.509220873,1.597947116,-0.001303595,0.076705269,0.0205593,0.147188904,0.187050529,0.167119717,0.038403756,0
261.612309,-2.383337654,0.430906234,1.577350814,-2.384166579,0.511023471,1.598507321,-0.001344349,0.078307004,0.020596302,0.148812893,0.188630011,0.168721452,0.04815844,0
261.617617,-2.383339329,0.431161854,1.578006263,-2.384213373,0.512820315,1.599065737,-0.001385829,0.079853878,0.020501058,0.150448869,0.190087782,0.170268326,0.0290318,0
261.6229,-2.383340435,0.431315225,1.578399532,-2.384259946,0.514608696,1.599621523,-0.001431205,0.081497199,0.020666205,0.152054992,0.191768301,0.171911647,0,0
261.628182,-2.383340435,0.431315225,1.578399532,-2.38430651,0.516396738,1.600177203,-0.001481489,0.083285371,0.021221991,0.153615556,0.193784081,0.173699819,0,0
261.632502,-2.383340435,0.431315225,1.578399532,-2.384344593,0.517859127,1.600631679,-0.001533752,0.085073173,0.021777671,0.15517778,0.195797461,0.175487621,0.009629874,0
261.637811,-2.383340824,0.431366348,1.578530622,-2.384391395,0.51965631,1.6011902,-0.001576837,0.08648423,0.022101057,0.156470229,0.197327126,0.176898677,0.009699298,0
261.643082,-2.383341219,0.431417472,1.578661711,-2.384437863,0.521440628,1.601744723,-0.001631816,0.088229998,0.022528489,0.15805726,0.199231631,0.178644446,0.019457659,0
261.648337,-2.383342023,0.431519718,1.578923891,-2.384484189,0.52321953,1.602297564,-0.001687149,0.089911759,0.022820832,0.159648182,0.20100423,0.180326206,0.028949604,0
261.653635,-2.38334327,0.431673088,1.57931716,-2.384530894,0.525012989,1.602854927,-0.001742996,0.091536958,0.022980403,0.161249443,0.202653368,0.181951406,0.009658984,0
261.658928,-2.383343705,0.431724211,1.57944825,-2.384577555,0.526804754,1.603411765,-0.001803617,0.093278895,0.023406678,0.162838864,0.204547822,0.183693343,0.019347209,0
261.664213,-2.38334459,0.431826458,1.579710429,-2.384624146,0.528593812,1.603967762,-0.0018649,0.09496799,0.023701336,0.164441913,0.206322963,0.185382438,0.023773541,0
261.668514,-2.383345502,0.431928704,1.579972609,-2.384662062,0.53004977,1.604420238,-0.001927991,0.096654338,0.023995153,0.166044443,0.208093127,0.187068785,0.019252495,0
261.673825,-2.38334644,0.432030949,1.580234788,-2.384708882,0.531847629,1.60497897,-0.001980277,0.098007645,0.02418545,0.167354888,0.209489298,0.188422093,0.028927763,0
261.679127,-2.383347887,0.432184317,1.580365878,-2.384755622,0.533642442,1.605536755,-0.002045893,0.099651605,0.024613092,0.168850642,0.211281462,0.190066052,0.023968589,0
261.683393,-2.383348866,0.432286563,1.580628058,-2.38479323,0.535086551,1.605985549,-0.002114531,0.101343583,0.024908697,0.170463456,0.213052606,0.191758031,0.038723727,0
261.688674,-2.383350876,0.432491053,1.580890237,-2.384839785,0.536874255,1.606541125,-0.00216805,0.102582729,0.025095312,0.171662814,0.214331539,0.192997176,0.038657845,0
261.693964,-2.383352941,0.432695542,1.581152417,-2.38488642,0.538665005,1.607097647,-0.002237159,0.104165301,0.025388708,0.173167797,0.2159917,0.194579749,0.048140301,0
261.699274,-2.383355588,0.432951154,1.581283506,-2.384933231,0.540462526,1.607656273,-0.002306886,0.105699764,0.025814141,0.174559271,0.217669153,0.196114212,0.05818475,0
